Name,Work ID #,Work Type,Line of Business,Project Manager/Owner,Sub-Portfolio,Sponsor.,Business Priority,Methodology,Part Of Program?,Capitalization Flag,Work Status,Current Gate,Stage,Status Reporting Frequency,Reported - This Period (d),Reporting Period,Reporting Period - Fortnightly,Reporting Period - Weekly,Overall Status Assessment,Scope Status Assessment,Cost Status Assessment,Schedule Status Assessment,Resourcing Status Assessment,Benefit Status Assessment,OCM Status Assessment,Quality Status Assessment,Risks Status Assessment,Issues Status Assessment,Baseline Start,Baseline Finish,Baseline Duration (d),Requested Start,Requested Finish,Duration at Complete (d),Actual/Schedule Start,Actual/Schedule Finish,Schedule Start,Schedule Finish,Actual Start,Actual Finish,Late Finish,Percent Complete,"Milestones, Total","Milestones,Completed","Milestones,Remain","Milestones, Scheduled","Milestones, Late","Milestones, Missed","Milestones, On Time","Changes, Active","Changes, Total","Risks, Active","Risks, Total",Are there changes to the business capability?,Are there changes to support arrangements?,Will there be Architecture changes?,"Issues, Active","Issues, Total",Gate 0 Date,Gate 1 Date,Gate 2 Date,Gate 3 Date
Project 147,1000313,Project,Line of Business 7,Project Manager 33,Sub-Portfolio 1,Sponsor 13,,Waterfall,No,Opex,Prepare for Closure,Gate 2,7. Closure,Monthly,,,,,,,,,,,,,,,01/08/2023,30/05/2024,203.0,,,203.0,01/08/2023,30/05/2024,01/08/2023,30/05/2024,01/08/2023,,,10,3,3,,3,,,,,,,,,,,,,,,,
Project 148,1001803,Minor Work,,Project Manager 36,Sub-Portfolio 7,,Medium,,,,Open/Active,,6. Implement,Weekly,,,,,,,,,,,,,,,,,,15/11/2024,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 149,1001349,Project,Line of Business 12,Project Manager 28,Sub-Portfolio 4,Sponsor 19,,Agile,No,Capex & Opex,Open/Active,Gate 0,3. Evaluate,Weekly,,,,28 Mar 25,Amber,Green,Amber,Amber,Green,Green,Green,,Amber,Amber,26/03/2024,01/08/2025,332.0,01/07/2024,24/12/2025,332.0,26/03/2024,01/08/2025,01/07/2024,01/08/2025,26/03/2024,,27/06/2025,16,53,19,34,32,11,13,23,,,2,4,Moderate Changes,Moderate Changes,Moderate Changes,1,1,29/08/2024,,,
Project 150,1000312,Project,Line of Business 3,Project Manager 10,Sub-Portfolio 7,Sponsor 17,,Agile,Yes,Capital,Completed,Gate 3,7. Closure,Monthly,,Jun-2024,,,Green,Green,Green,Amber,Green,Green,Amber,,Amber,Green,12/07/2021,25/11/2024,858.0,01/07/2024,30/06/2025,858.0,12/07/2021,25/11/2024,,,12/07/2021,25/11/2024,,100,27,27,,27,,,,,,1,11,,,,,4,,,28/08/2024,28/11/2024
Project 151,1001869,Minor Work,,,Sub-Portfolio 3,,,,,,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,03/03/2025,03/03/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 152,1000987,Project,Line of Business 22,Project Manager 30,Sub-Portfolio 7,Sponsor 51,,Hybrid,No,Capex & Opex,Open/Active,Gate 1,4. Analyse & Design,Monthly,,Mar-2025,,,Green,Green,Green,Amber,Green,Green,Green,,Green,Green,19/04/2024,26/02/2027,698.0,18/12/2023,24/12/2025,698.0,19/04/2024,26/02/2027,01/07/2024,26/02/2027,19/04/2024,,02/06/2025,29,69,35,34,49,12,14,22,,,2,7,Minor Changes,Minor Changes,Minor Changes,,2,06/08/2024,12/08/2024,,
Project 153,1001774,Project,,Project Manager 4,Sub-Portfolio 4,Sponsor 19,,,,,Requested,,2. Concept,Monthly,,Mar-2025,,21 Feb 25,Green,Green,Green,Amber,Green,Green,Green,,Green,Green,,,,01/11/2024,30/06/2025,380.0,01/11/2024,29/05/2026,02/12/2024,29/05/2026,01/11/2024,,08/04/2025,24,6,1,5,,,,,,,,,,,,,,,,,
Project 154,1001777,Minor Work,,Project Manager 14,Sub-Portfolio 4,Sponsor 19,Medium,,,,Requested,,2. Concept,Monthly,,Mar-2025,,21 Feb 25,Green,Green,Green,Amber,Green,Green,Green,,Amber,Green,01/11/2024,19/12/2025,280.0,01/11/2024,30/06/2025,283.0,01/11/2024,24/12/2025,01/11/2024,24/12/2025,01/11/2024,,,9,8,1,7,3,7,2,,,,,,,,,,,,,,
Project 155,1001775,Light Project,,Project Manager 14,Sub-Portfolio 4,Sponsor 19,,,No,Capital,Requested,,2. Concept,Monthly,,Mar-2025,,21 Feb 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/11/2024,30/06/2025,157.0,01/11/2024,30/06/2025,157.0,01/11/2024,30/06/2025,01/11/2024,30/06/2025,14/03/2025,,02/06/2025,0,7,2,5,,,,,,,,,,,,,,,,,
Project 156,1001776,Light Project,,Project Manager 14,Sub-Portfolio 4,Sponsor 19,,,No,Capital,Requested,,2. Concept,Monthly,,Mar-2025,,21 Feb 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/11/2024,30/06/2026,401.0,01/11/2024,30/06/2025,282.9,01/11/2024,24/12/2025,01/11/2024,24/12/2025,14/03/2025,,02/06/2025,0,12,2,10,,,,,,,,,,,,,,,,,
Project 157,1001428,Minor Work,,Project Manager 13,Sub-Portfolio 7,,High,,,,Requested,,,Monthly,,,,,,,,,,,,,,,,,,17/04/2024,28/06/2024,103.0,01/02/2024,28/06/2024,01/02/2024,28/06/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 158,1000304,Project,Line of Business 7,Project Manager 22,Sub-Portfolio 8,Sponsor 18,,Hybrid,Yes,Capital,Prepare for Closure,Gate 2,7. Closure,Monthly,,Feb-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,13/02/2023,31/03/2025,523.0,01/09/2023,20/12/2024,536.0,13/02/2023,17/04/2025,03/07/2023,17/04/2025,13/02/2023,,,38,75,71,4,75,4,4,,,,,6,Moderate Changes,Minor Changes,Major Changes,,6,,,06/03/2025,
Project 159,1000316,Project,Line of Business 17,Project Manager 39,Sub-Portfolio 7,Sponsor 4,,Agile,No,Capital,Completed,Gate 3,7. Closure,Monthly,,May-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,30/06/2021,31/05/2024,742.0,01/02/2022,31/05/2024,742.0,30/06/2021,31/05/2024,,,30/06/2021,31/05/2024,,100,19,19,,19,,,,,,,2,Moderate Changes,No Changes,No Changes,,1,,,,30/06/2024
Project 160,1000307,Project,Line of Business 3,Project Manager 35,Sub-Portfolio 7,Sponsor 17,,Waterfall,Yes,Capex & Opex,Open/Active,Gate 1,5. Build & Test,Monthly,,Mar-2025,,,Amber,Green,Amber,Amber,Amber,Green,Green,,Amber,Amber,04/06/2019,21/12/2029,"2,677.0",,,"2,853.9",28/09/2018,21/02/2035,28/09/2018,21/02/2035,14/06/2021,,01/01/2035,11,84,56,28,56,16,2,5,,,25,44,Major Changes,Major Changes,Major Changes,2,6,,,,
Project 161,1001399,Project,Line of Business 7,Project Manager 14,Sub-Portfolio 4,,Important,Agile,No,Capital,Prepare for Closure,Gate 2,7. Closure,Weekly,,,,31 Jan 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,28/03/2024,03/02/2025,205.1,05/04/2024,30/06/2025,205.1,28/03/2024,03/02/2025,01/07/2024,31/01/2025,28/03/2024,,02/06/2025,100,53,53,,53,,,,,,,2,Minor Changes,No Changes,Minor Changes,,,28/03/2024,03/02/2025,29/11/2024,28/02/2025
Project 162,1001358,Project,,Project Manager 31,Sub-Portfolio 8,Sponsor 7,,Hybrid,No,Capex & Opex,Open/Active,Gate 0,3. Evaluate,Weekly,,,,04 Apr 25,Red,Green,Red,Amber,Amber,Green,Green,,Green,Green,31/07/2024,22/09/2025,281.9,01/07/2024,30/06/2025,340.9,31/07/2024,15/12/2025,13/12/2024,15/12/2025,31/07/2024,,01/07/2025,17,72,30,42,35,24,7,,,,5,5,Moderate Changes,Minor Changes,Minor Changes,,,29/08/2024,24/02/2025,31/08/2025,30/09/2025
Project 163,1001239,Minor Work,,Project Manager 13,Sub-Portfolio 3,,Low,Waterfall,No,Capital,Completed,Gate 3,7. Closure,Weekly,,,,,,,,,,,,,,,02/04/2024,29/07/2024,83.0,07/03/2024,28/06/2024,83.0,02/04/2024,29/07/2024,,,02/04/2024,29/07/2024,,100,9,9,,9,,,,,,,,No Changes,No Changes,No Changes,1,1,30/07/2024,30/07/2024,30/07/2024,30/07/2024
Project 164,1001618,Minor Work,,Project Manager 37,Sub-Portfolio 4,Sponsor 11,Medium,,,,Open/Active,,6. Implement,Weekly,,Jan-2025,,04 Apr 25,Red,Green,Red,Amber,Green,Green,Green,,Amber,Amber,,,,11/09/2024,09/05/2025,173.0,11/09/2024,30/05/2025,11/09/2024,30/05/2025,30/09/2024,,08/04/2025,13,12,8,4,,,,,,,3,4,,,,2,2,,,,
Project 165,1001755,Project,Line of Business 12,Project Manager 28,Sub-Portfolio 4,Sponsor 8,,,No,Capex & Opex,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,17/02/2025,30/06/2025,106.8,17/02/2025,21/07/2025,17/02/2025,21/07/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 166,1001805,Minor Work,,Project Manager 36,Sub-Portfolio 7,,Medium,,,,Open/Active,,6. Implement,Weekly,,,,,,,,,,,,,,,,,,15/11/2024,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 167,1001359,Project,,Project Manager 21,Sub-Portfolio 8,Sponsor 18,,Waterfall,No,Capital,Open/Active,Gate 0,3. Evaluate,Weekly,,,,28 Mar 25,Amber,Amber,Green,Amber,Green,Green,Green,,Amber,Green,26/03/2024,31/10/2025,397.0,01/07/2024,30/06/2025,397.0,26/03/2024,31/10/2025,06/01/2025,31/10/2025,26/03/2024,,02/06/2025,45,53,7,46,7,,,5,,,10,10,No Changes,Minor Changes,Minor Changes,,,26/03/2024,,,
